               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1203,             0.13381,            0.075114,             0.20646,                   0,                   0,                   0,                   0,             0.12356,             0.16521,            0.081705,             0.20664,                   0,                   0,                 0.1
                   1,             0.12197,              0.1239,            0.076703,             0.20798,                   0,                   0,                   0,                   0,             0.12379,             0.16547,            0.080858,             0.20523,          9.8042e-06,          9.8042e-06,             0.09991
                   2,              0.1211,             0.13303,            0.075571,             0.21108,                   0,                   0,                   0,                   0,             0.12363,              0.1655,            0.080858,             0.20525,          1.8472e-05,          1.8472e-05,            0.099818
                   3,             0.12272,             0.12546,            0.075719,             0.20698,                   0,                   0,                   0,                   0,             0.12362,             0.16541,             0.08077,             0.20524,          2.5053e-05,          2.5053e-05,            0.099725
                   4,             0.12187,             0.23947,            0.073881,             0.20675,                   0,                   0,                   0,                   0,             0.12383,             0.16558,            0.080417,             0.20507,          2.8944e-05,          2.8944e-05,            0.099629
                   5,             0.12485,             0.12266,            0.075278,             0.20725,                   0,                   0,                   0,                   0,             0.12382,             0.16557,            0.080273,             0.20492,               3e-05,               3e-05,             0.09953
                   6,             0.12042,             0.13699,            0.076331,             0.20439,                   0,                   0,                   0,                   0,             0.12331,             0.16619,            0.080169,             0.20476,          2.8584e-05,          2.8584e-05,            0.099429
                   7,             0.12107,             0.13498,            0.075089,             0.20841,                   0,                   0,                   0,                   0,              0.1233,             0.16638,            0.079895,             0.20469,          2.5542e-05,          2.5542e-05,            0.099326
                   8,             0.12111,               0.126,            0.079787,             0.21164,                   0,                   0,                   0,                   0,              0.1233,             0.16673,            0.079895,             0.20469,          2.2111e-05,          2.2111e-05,            0.099222
                   9,             0.11902,             0.12311,            0.077802,             0.20764,                   0,                   0,                   0,                   0,             0.12271,             0.16989,             0.07938,             0.20419,          1.9762e-05,          1.9762e-05,             0.09912
